country,pop,lat,lng
Afghanistan,34656032,33.93911,67.709953
Albania,2926348,41.153332,20.168331
Algeria,40606052,28.033886,1.659626
Angola,28813463,-11.202692,17.873887
Antigua and Barbuda,100963,17.060816,-61.796428
Argentina,43847430,-38.416097,-63.616672
Armenia,2924816,40.069099,45.038189
Aruba,104822,12.52111,-69.968338
Australia,24125848,-25.274398,133.775136
Austria,8712137,47.516231,14.550072
Azerbaijan,9725376,40.143105,47.576927
Bahamas,391232,25.03428,-77.39628
Bahrain,1425171,25.930414,50.637772
Bangladesh,162951560,23.684994,90.356331
Barbados,284996,13.193887,-59.543198
Belarus,9480042,53.709807,27.953389
Belgium,11358379,50.503887,4.469936
Belize,366954,17.189877,-88.49765
Benin,10872298,9.30769,2.315834
Bhutan,797765,27.514162,90.433601
Bolivia,10887882,-16.290154,-63.588653
Bosnia and Herzegovina,3516816,43.915886,17.679076
Botswana,2250260,-22.328474,24.684866
Brazil,207652865,-14.235004,-51.92528
Brunei,423196,4.535277,114.727669
Bulgaria,7131494,42.733883,25.48583
Burkina Faso,18646433,12.238333,-1.561593
Burundi,10524117,-3.373056,29.918886
Cambodia,15762370,12.565679,104.990963
Cameroon,23439189,7.369722,12.354722
Canada,36289822,56.130366,-106.346771
Cape Verde,539560,16.002082,-24.013197
Central African Republic,4594621,6.611111,20.939444
Chad,14452543,15.454166,18.732207
Chile,17909754,-35.675147,-71.542969
China,1403500365,35.86166,104.195397
Colombia,48653419,4.570868,-74.297333
Comoros,795601,-11.875001,43.872219
Congo,5125821,-4.038333,21.758664
Costa Rica,4857274,9.748917,-83.753428
Croatia,4213265,45.1,15.2
Cuba,11475982,21.521757,-77.781167
Cyprus,1170125,35.126413,33.429859
Czech Republic,10610947,49.817492,15.472962
Democratic Republic of Congo,78736153,-0.228021,15.827659
Denmark,5711870,56.26392,9.501785
Djibouti,942333,11.825138,42.590275
Dominican Republic,10648791,18.735693,-70.162651
Ecuador,16385068,-1.831239,-78.183406
Egypt,95688681,26.820553,30.802498
El Salvador,6344722,13.794185,-88.89653
Equatorial Guinea,1221490,1.650801,10.267895
Eritrea,4954645,15.179384,39.782334
Estonia,1312442,58.595272,25.013607
Ethiopia,102403196,9.145,40.489673
Fiji,898760,-16.578193,179.414413
Finland,5503132,61.92411,25.748151
France,64720690,46.227638,2.213749
French Guiana,275713,3.933889,-53.125782
French Polynesia,280208,0,0
Gabon,1979786,-0.803689,11.609444
Gambia,2038501,13.443182,-15.310139
Georgia,3925405,42.315407,43.356892
Germany,81914672,51.165691,10.451526
Ghana,28206728,7.946527,-1.023194
Greece,11183716,39.074208,21.824312
Grenada,107317,12.262776,-61.604171
Guam,162896,13.444304,144.793731
Guatemala,16582469,15.783471,-90.230759
Guinea,12395924,9.945587,-9.696645
Guinea-Bissau,1815698,11.803749,-15.180413
Guyana,773303,4.860416,-58.93018
Haiti,10847334,18.971187,-72.285215
Honduras,9112867,15.199999,-86.241905
Hong Kong,7302843,22.396428,114.109497
Hungary,9753281,47.162494,19.503304
Iceland,332474,64.963051,-19.020835
India,1324171354,20.593684,78.96288
Indonesia,261115456,-0.789275,113.921327
Iran,80277428,32.427908,53.688046
Iraq,37202572,33.223191,43.679291
Ireland,4726078,53.41291,-8.24389
Israel,8191828,31.046051,34.851612
Italy,59429938,41.87194,12.56738
Jamaica,2881355,18.109581,-77.297508
Japan,127748513,36.204824,138.252924
Jordan,9455802,30.585164,36.238414
Kazakhstan,17987736,48.019573,66.923684
Kenya,48461567,-0.023559,37.906193
Kiribati,114395,-3.370417,-168.734039
Kuwait,4052584,29.31166,47.481766
Kyrgyzstan,5955734,41.20438,74.766098
Laos,6758353,19.85627,102.495496
Latvia,1970530,56.879635,24.603189
Lebanon,6006668,33.854721,35.862285
Lesotho,2203821,-29.609988,28.233608
Liberia,4613823,6.428055,-9.429499
Libya,6293253,26.3351,17.228331
Lithuania,2908249,55.169438,23.881275
Luxembourg,575747,49.815273,6.129583
Macedonia,2081206,41.608635,21.745275
Madagascar,24894551,-18.766947,46.869107
Malawi,18091575,-13.254308,34.301525
Malaysia,31187265,4.210484,101.975766
Maldives,427756,3.202778,73.22068
Mali,17994837,17.570692,-3.996166
Malta,429362,35.937496,14.375416
Martinique,385103,14.641528,-61.024174
Mauritania,4301018,21.00789,-10.940835
Mauritius,1262132,-20.348404,57.552152
Mayotte,246489,-12.8275,45.166244
Mexico,127540423,23.634501,-102.552784
Micronesia,104937,7.425554,150.550812
Moldova,4059608,47.411631,28.369885
Mongolia,3027398,46.862496,103.846656
Montenegro,628615,42.708678,19.37439
Morocco,35276786,31.791702,-7.09262
Mozambique,28829476,-18.665695,35.529562
Myanmar,52885223,21.913965,95.956223
Namibia,2479713,-22.95764,18.49041
Nepal,28982771,28.394857,84.124008
Netherlands,16987330,52.132633,5.291266
New Caledonia,272677,-20.904305,165.618042
New Zealand,4660833,-40.900557,174.885971
Nicaragua,6149928,12.865416,-85.207229
Niger,20672987,17.607789,8.081666
Nigeria,185989640,9.081999,8.675277
North Korea,25368620,40.339852,127.510093
Norway,5254694,60.472024,8.468946
Oman,4424762,21.512583,55.923255
Pakistan,193203476,30.375321,69.345116
Panama,4034119,8.537981,-80.782127
Papua New Guinea,8084991,-6.314993,143.95555
Paraguay,6725308,-23.442503,-58.443832
Peru,31773839,-9.189967,-75.015152
Philippines,103320222,12.879721,121.774017
Poland,38224410,51.919438,19.145136
Polynesia,681335,-17.679742,-149.406843
Portugal,10371627,39.399872,-8.224454
Puerto Rico,3667903,18.220833,-66.590149
Qatar,2569804,25.354826,51.183884
Romania,19778083,45.943161,24.96676
Russia,143964513,61.52401,105.318756
Rwanda,11917508,-1.940278,29.873888
Saint Lucia,178015,13.909444,-60.978893
Saint Vincent and the Grenadines,109643,12.984305,-61.287228
Samoa,195125,-13.759029,-172.104629
Saudi Arabia,32275687,23.885942,45.079162
Senegal,15411614,14.497401,-14.452362
Seychelles,94228,-4.679574,55.491977
Sierra Leone,7396190,8.460555,-11.779889
Singapore,5622455,1.352083,103.819836
Slovakia,5444218,48.669026,19.699024
Slovenia,2077862,46.151241,14.995463
Solomon Islands,599419,-9.64571,160.156194
Somalia,14317996,5.152149,46.199616
South Africa,56015473,-30.559482,22.937506
South Korea,50791919,35.907757,127.766922
Sudan,12230730,12.862807,30.217636
Spain,46347576,40.463667,-3.74922
Sri Lanka,20798492,7.873054,80.771797
Sudan,39578828,12.862807,30.217636
Suriname,558368,3.919305,-56.027783
Swaziland,1343098,-26.522503,31.465866
Sweden,9837533,60.128161,18.643501
Switzerland,8401739,46.818188,8.227512
Syria,18430453,34.802075,38.996815
Taiwan,23556706,23.69781,120.960515
Tajikistan,8734951,38.861034,71.276093
Tanzania,55572201,-6.369028,34.888822
Thailand,68863514,15.870032,100.992541
Timor,1268671,-8.874217,125.727539
Togo,7606374,8.619543,0.824782
Tonga,107122,-21.178986,-175.198242
Trinidad and Tobago,1364962,10.691803,-61.222503
Tunisia,11403248,33.886917,9.537499
Turkey,79512426,38.963745,35.243322
Turkmenistan,5662544,38.969719,59.556278
Uganda,41487965,1.373333,32.290275
Ukraine,44438625,48.379433,31.16558
United Arab Emirates,9269612,23.424076,53.847818
United Kingdom,65788574,55.378051,-3.435973
United States,322179605,37.09024,-95.712891
United States Virgin Islands,104913,18.335765,-64.896335
Uruguay,3444006,-32.522779,-55.765835
Uzbekistan,31446795,41.377491,64.585262
Vanuatu,270402,-15.376706,166.959158
Venezuela,31568179,6.42375,-66.58973
Vietnam,94569072,14.058324,108.277199
